"username","status","category","style"
unremarkable_being,Свободно,Без темы,
random_user123,Занято,Без темы,
WorkHardPlayHarder123,Свободно,Работа с юмором,
HappyProductivity_bot,Свободно,Работа с юмором,
FunWorkFlow,Свободно,Работа с юмором,
Abstract_Noise_47,Свободно,Без темы,
Unrelated_Data_Stream,Свободно,Без темы,
Random_User123,Занято,Без темы,
AbstractNotion47,Свободно,Без темы,
RandomUser_123,Занято,Без темы,
The_Bean_Show,Свободно,**Комедия**,
MisterBean_Jokes,Свободно,**Комедия**,
Bean_ComedyBot,Свободно,**Комедия**,
MrBean_Fun,Доступно для покупки,**Комедия**,
Tibi_Doh_Laughs,Свободно,**Развлечения**,
TibidohGames_bot,Свободно,**Развлечения**,
TibidohFun,Свободно,**Развлечения**,
Imaginarium_Maker,Свободно,Генератор изображений,funky
ArtGenFunky,Свободно,Генератор изображений,funky
PixelPusher_bot,Свободно,Генератор изображений,funky
Lux_Carriage,Свободно,Бизнес,minimal
EliteConvoy,Свободно,Бизнес,minimal
CortegeBusiness,Свободно,Бизнес,minimal
Sherlock_Clues,Свободно,Загадки доктора Шерлока,strict
Deduction_Bot,Занято,Загадки доктора Шерлока,strict
CaseFiles_221B,Свободно,Загадки доктора Шерлока,strict
SherlockHolmes_Enigma,Свободно,Загадки доктора Шерлока,strict
FactVerifyBot,Свободно,Проверка качества,strict
VerifyAccuracy,Свободно,Проверка качества,strict
QualityCheck_bot,Занято,Проверка качества,strict
Verification_Pro,Доступно для покупки,Проверка качества,strict
QualityControl1,Доступно для покупки,Проверка качества,strict
Repeat_The_Glory,Свободно,Тема: Повторение важных событий,epic
Encore_Chronicles,Свободно,Тема: Повторение важных событий,epic
Rewind_Epic,Свободно,Тема: Повторение важных событий,epic
StrictCheck_123,Свободно,Проверка документов,strict
Doc_Verification_Bot,Свободно,Проверка документов,strict
AuditControl123,Свободно,Проверка документов,strict
DocVerify_bot,Занято,Проверка документов,strict
CringePatrol_bot,Свободно,Проверка кринжа,cringe
cringe_o_meter_420,Свободно,Проверка кринжа,cringe
cringe_inspector_bot,Свободно,Проверка кринжа,cringe
CringePatrol,Занято,Проверка кринжа,cringe
CrocoMoonShine_420,Свободно,Cringe,cringe
LunarLizardLord69,Свободно,Cringe,cringe
Moon_Croc_Gangsta_bot,Свободно,Cringe,cringe
MysteryBulvinkle,Свободно,Загадки,
TheBulvinkleEnigma,Свободно,Загадки,
Bulvinkle_Riddles,Свободно,Загадки,
Style_Algorithm,Свободно,Шмотки,strict
Apparel_Curator,Свободно,Шмотки,strict
ClothierBot,Свободно,Шмотки,strict
BunnyHop,Свободно,Игры,minimal
SpeedyHare,Свободно,Игры,minimal
ZipZapBunny,Свободно,Игры,minimal
BunnyHop_bot,Занято,Игры,minimal
RetroPixelRumble,Свободно,Инди-игры,funky
IndieGameGroove,Свободно,Инди-игры,funky
PixelPusher_77,Свободно,Инди-игры,funky
VerifyNow,Занято,Проверка фактов,minimal
TruthSeeker,Занято,Проверка фактов,minimal
aprapratime,Свободно,Апрапра (бота нет),minimal
prapra_bot,Занято,Апрапра (бота нет),minimal
a_pra_pra,Свободно,Апрапра (бота нет),minimal
apra_pra,Свободно,Апрапра (бота нет),minimal
vapour_synth,Свободно,Музыка,minimal
wave_vap_bot,Свободно,Музыка,minimal
vap_wave_beats,Свободно,Музыка,minimal
Verify_Info,Свободно,Проверка фактов,
task_maestro,Свободно,** Производительность/Тайм-менеджмент**,minimal
local_focus,Занято,** Производительность/Тайм-менеджмент**,minimal
RemoteAssist,Доступно для покупки,** IT-помощь**,minimal
TechHelperBot,Занято,** IT-помощь**,minimal
LocalSupport_bot,Занято,** IT-помощь**,minimal
NearSource_helper,Свободно,**  IT/Программирование**,minimal
CodeLocal,Свободно,**  IT/Программирование**,minimal
LocalDev_bot,Занято,**  IT/Программирование**,minimal
AnthemChronicles,Свободно,Любимые песни,epic
MyAudioAlchemist,Свободно,Любимые песни,epic
MelodyMaster_bot,Занято,Любимые песни,epic
EpicSoundtracks,Занято,Любимые песни,epic
LegendaryTunes,Занято,Любимые песни,epic
MyMusicalJourney,Доступно для покупки,Любимые песни,epic
EpicSoundtrack_Bot,Свободно,Любимые песни,epic
random_user_123,Занято,Без темы,
MyMusicVault,Свободно,Любимые песни,
TopTuneBot,Занято,Любимые песни,
MelodyMemories,Доступно для покупки,Любимые песни,
TopTune_bot,Свободно,Любимые песни,
SongSuggester,Свободно,Любимые песни,
MyMusicPlaylist,Доступно для покупки,Любимые песни,
AncientSecretsHunter,Свободно,Загадки истории,
LostChaptersBot,Свободно,Загадки истории,
HistoryEnigma_bot,Свободно,Загадки истории,
ExclusiveStyleFinds,Свободно,Неизвестно,
PremiumGoods_bot,Занято,Неизвестно,
Elite_StyleDeals,Свободно,Неизвестно,
LuxuryFinds_bot,Свободно,Неизвестно,
BrandedGoodsAdvisor,Свободно,Неизвестно,
AuthenticStyle_bot,Свободно,Неизвестно,
BrandNameHunter,Свободно,Неизвестно,
LuxuryHosiery_bot,Свободно,Тема: продажа товаров,
SilkyLegsBoutique,Свободно,Тема: продажа товаров,
SilkStockingsShop,Свободно,Тема: продажа товаров,
RatingClassifier,Свободно,проверка соответствия категориям/классификация,
VerifyClass,Свободно,проверка соответствия категориям/классификация,
CategoryChecker_bot,Свободно,проверка соответствия категориям/классификация,
DataClassChecker,Свободно,Категория: проверка данных на соответствие категории,strict
CategoryValidator_bot,Свободно,Категория: проверка данных на соответствие категории,strict
ProductClassificationBot,Занято,Неизвестно,strict
StrictCategoryCheck,Свободно,Неизвестно,strict
CheckCat,Свободно,**Категория: Модерация контента**,minimal
ModCheckBot,Свободно,**Категория: Модерация контента**,minimal
ContentVerify,Свободно,**Категория: Модерация контента**,minimal
CheckCat_bot,Занято,**Категория: Модерация контента**,minimal
FunkySuccess7,Свободно,Тема:  Позитивный результат/достижение,funky
NiceOne_bot,Занято,Тема:  Позитивный результат/достижение,funky
FunkyResult88,Свободно,**Категория: общая**,funky
NiceTry_bot,Занято,**Категория: общая**,funky
GroovyOutcome,Свободно,**Категория: общая**,funky
LegendaryNudeBot,Свободно,Тема: генератор дикпиков (эпический стиль),epic
Royal_Cock_Creator,Свободно,Тема: генератор дикпиков (эпический стиль),epic
EpicDickPicGenerator_bot,Свободно,Тема: генератор дикпиков (эпический стиль),epic
PinkFluffyGoose_bot,Свободно,Cringe Pink Geese Bot:,cringe
FluffyPinkButt_420,Свободно,Неизвестно,cringe
MyLittlePinkGeese_bot,Свободно,Неизвестно,cringe
Cringe,Продано,Неизвестно,cringe
Data10,Занято,**Категория: Технологии**,
Tech4u,Доступно для покупки,**Категория: Технологии**,
CodeX_bot,Занято,**Категория: Технологии**,
PlayTime,Занято,**Категория: игры**,
Game4fun,Доступно для покупки,**Категория: игры**,
aGame_1,Свободно,**Категория: игры**,
PrecisionCheck,Свободно,"**Безопасность:** SecureCheck_bot,  VerificationGuard,  Auth_Control123",
AssuranceCheck,Свободно,"**Безопасность:** CheckPoint_Secure, SecurityValidator,  Verification_Bot",
ProductInspector,Свободно,"**Безопасность:** CheckPoint_Secure, SecurityValidator,  Verification_Bot",
TruthSerum_bot,Свободно,**Проверка (общая)**,funky
FactCheck_Flow,Свободно,**Проверка (общая)**,funky
VerifyVibes,Занято,**Проверка (функциональная)**,funky
FactFinder_bot,Занято,**Проверка (функциональная)**,funky
Check_it_quick,Свободно,**Проверка (функциональная)**,funky
verify4_bot,Свободно,**Категория: Проверка данных (бот)**,minimal
check_data_bot,Занято,**Категория: Проверка данных (бот)**,minimal
verify_4_bot,Занято,**Проверка качества (QA/тестирование)**,minimal
qatest4,Свободно,**Проверка качества (QA/тестирование)**,minimal
check_four_bot,Свободно,**Проверка качества (QA/тестирование)**,minimal
AuditControl,Свободно,**Категория: Безопасность**,None
SecureValidator,Свободно,**Категория: Безопасность**,None
Precision_Verify,Свободно,"**Безопасность:**  Verify_Gate, SecureCheck_bot, AuthControl",None
FactCheckPro,Занято,"**Безопасность:**  Verify_Gate, SecureCheck_bot, AuthControl",None
**Качество:** QualityControlBot,Невозможно определить,"**Безопасность:**  Verify_Gate, SecureCheck_bot, AuthControl",None
SecureVerify_bot,Занято,**Категория: Безопасность**,None
CheckAuth,Свободно,**Категория: Безопасность**,None
Auth_Guard,Свободно,**Категория: Безопасность**,None
AuthControl,Занято,**Категория: Безопасность**,None
SecureVerify,Доступно для покупки,**Категория: Безопасность**,None
CheckPoint_bot,Занято,**Категория: Безопасность**,None
CheckFacts_bot,Свободно,**Категория: проверка фактов (бота)**,None
Fake,Свободно,**Тема: Проверка (cringe)**,None
IsItSafe_4u_bro,Свободно,**Тема: Проверка (cringe)**,None
WorkFlow_bot,Занято,Бизнес,minimal
DataSummary,Свободно,Бизнес,minimal
TaskBot,Занято,Бизнес,minimal
ReportNinja_bot,Занято,Бизнес,funky
ReportConfirmation_Bot,Свободно,**Бизнес**,
PostgreSqlBlueBot,Свободно,Бот базы данных,minimal
checksoulmate,Свободно,Пользовательская проверка,None
lovemetenger,Свободно,Пользовательская проверка,None
PinkFeathersSecrets,Свободно,Загадки розовых фламинго,None
Flamingo_RiddleMaster,Свободно,Загадки розовых фламинго,None
PinkFlamingoEnigma,Свободно,Загадки розовых фламинго,None
DB_Audit123,Свободно,Database_Verification,None
BaseVerifier_Bot,Свободно,Database_Verification,None
DataCheckerPro,Свободно,Database_Verification,None
DeepSea,Занято,Разное,None
SunGod,Занято,Разное,None
CoolCat,Занято,Разное,None
Chrono,Доступно для покупки,Разное,None
Mystic,Занято,Разное,None
Codex,Свободно,Разное,None
A7X_Z,Свободно,Разное,None
m3rry,Занято,Разное,None
_pL4t,Свободно,Разное,None
zX1y2,Свободно,Разное,None
MidnightDesireCo,Свободно,Товары для взрослых,None
RetroAutoClub,Свободно,Ретро-автомобили,None
PleasureParadiseStore,Свободно,Товары для взрослых,None
IntimateDelights100,Свободно,Товары для взрослых,None
SecretPleasuresShop,Свободно,Товары для взрослых,None
MidnightDesireEmporium,Свободно,магазин фаллоимитаторов,None
SecretSensations_Store,Свободно,магазин фаллоимитаторов,None
IntimateDelightsShop,Свободно,магазин фаллоимитаторов,None
PleasurePalace,Занято,магазин фаллоимитаторов,None
MidnightWhisper,Свободно,Интимные игрушки,None
InnerDesire,Занято,Интимные игрушки,None
SecretBliss,Свободно,Интимные игрушки,None
ForbiddenPleasure,Свободно,Игрушка для взрослых,None
MidnightDesire,Занято,Игрушка для взрослых,None
VelvetTouch,Занято,Игрушка для взрослых,None
InnerBliss,Доступно для покупки,Игрушка для взрослых,None
SecretWhisper,Доступно для покупки,Игрушка для взрослых,None
BlissfulTouch,Свободно,Сексуальные игрушки,None
SecretBliss_Garden,Свободно,Игрушка для взрослых,None
VelvetWhisper,Доступно для покупки,Игрушка для взрослых,None
ClassicZhiguli,Свободно,Автомобили,None
VAZ_enthusiast,Свободно,Автомобили,None
LadaLegendClub,Свободно,Автомобили,None
Zaporozhets_FanClub,Свободно,Поклонники ЗАЗ-96. Это запорожец,None
Zaporo,Доступно для покупки,Запорожец_фанаты,None
LittleZap_Fan,Свободно,Запорожец_фанаты,None
ZAZ968_Club,Занято,Запорожец_фанаты,None
Zaporozhets_Love,Свободно,Запорожец_фанаты,None
Volga_Ten_Fans,Свободно,ГАЗ2110 фанаты,None
GAZ2110_Club,Свободно,ГАЗ2110 фанаты,None
CuddlyDonutCo,Свободно,Плюшевые пончики,None
PlushDonutDelight,Свободно,Плюшевые пончики,None
FluffyDonutsShop,Свободно,Плюшевые пончики,None
DaVinci,Доступно для покупки,Неизвестно,None
Picasso,Занято,Неизвестно,None
LeonardoDaVinci,Продано,Неизвестно,None
VanGogh,Занято,Неизвестно,None
Caravaggio,Доступно для покупки,Неизвестно,None
Raphael,Занято,Неизвестно,None
Rembrandt,Занято,Неизвестно,None
DaVinci_Master,Свободно,Неизвестно,None
RembrandtVision,Свободно,Неизвестно,None
DaVinci_Codex,Свободно,Неизвестно,None
MichelangeloMaster,Свободно,Неизвестно,None
HappyPawsPlace,Свободно,Неизвестно,None
PetParadiseShop,Свободно,Неизвестно,None
AlgoOptimizer_bot,Свободно,Неизвестно,None
unspecified_account,Свободно,Без темы,
TokenCrunch_bot,Свободно,Неизвестно,None
FifteenTokenBot,Свободно,Неизвестно,None
CompressionWizard,Свободно,Неизвестно,None
TokenCompressor_bot,Свободно,Неизвестно,None
FifteenTokenMystery,Свободно,Неизвестно,None
CompressionCurious,Свободно,Неизвестно,None
TokenCompressor15,Свободно,Неизвестно,None
OceanData_Logger,Свободно,Неизвестно,None
API_Seafarer_bot,Свободно,Неизвестно,None
TokenLog_Voyager,Свободно,Неизвестно,None
Ocean_Response_Logger,Свободно,Неизвестно,None
Logbook_Voyager,Свободно,Неизвестно,None
ThirtyThreeTokens,Свободно,Неизвестно,None
TokenCounter_bot,Свободно,Неизвестно,None
Token_Generator33,Свободно,Неизвестно,None
_token_auditor_,Свободно,Неизвестно,None
Michelangelo,Продано,Неизвестно,None
VerifyBot100,Свободно,Неизвестно,None
TokenChecker100,Свободно,Неизвестно,None
Verify15Tokens,Свободно,Неизвестно,None
TokenChecker15,Свободно,Неизвестно,None
Recipe_,Свободно,Неизвестно,None
TripleToken,Занято,Неизвестно,None
TokenCheck3_Master,Свободно,Неизвестно,None
Triple,Продано,Неизвестно,None
BorschtBotRecipe,Свободно,Неизвестно,None
TokenVerifier3,Свободно,Неизвестно,None
Token3Checker,Свободно,Неизвестно,None
Token3Bors,Свободно,Неизвестно,None
BorschtRecipeChecker,Свободно,Неизвестно,None
Recipe,Продано,Неизвестно,None
BorschtBot,Занято,Неизвестно,None
Text_,Свободно,Неизвестно,None
Michelangelo_Genius,Свободно,Неизвестно,None
TripleTokenGen,Свободно,Неизвестно,None
TokenChecker3,Свободно,Неизвестно,None
Gen10Tokens,Свободно,Неизвестно,None
GenText_Bot,Занято,Неизвестно,None
GenText10Tokens,Свободно,Неизвестно,None
TokenChecker10,Свободно,Неизвестно,None
TokenChecker4,Свободно,Неизвестно,None
TokenChecker,Доступно для покупки,Неизвестно,None
TokenVerifier,Свободно,Неизвестно,None
Tropa_ShopBot,Свободно,Неизвестно,None
LongJourneyShop,Свободно,Неизвестно,None
EcstasyWave,Свободно,Неизвестно,None
TriumphantRoar,Свободно,Неизвестно,None
Jubilation_Echo,Свободно,Неизвестно,None
Suka_Vibes,Свободно,Неизвестно,None
Suka_Is_Queen,Свободно,Неизвестно,None
MadSuka,Свободно,Неизвестно,None
SkyfallPioneer,Свободно,Неизвестно,None
HoleDiver_1,Свободно,Неизвестно,None
FirstHoleFlyer,Свободно,Неизвестно,None
NewHairGrowth_bot,Свободно,Неизвестно,None
FollicleFriendBot,Свободно,Неизвестно,None
HairTransplantBot,Свободно,Неизвестно,None
UltimateSportShop,Свободно,Неизвестно,None
TopFitnessGear,Занято,Неизвестно,None
ActiveZoneStore,Занято,Неизвестно,None
FitLifeShop,Свободно,Неизвестно,None
ActiveLifeStore,Свободно,Неизвестно,None
FitnessHub247,Свободно,Неизвестно,None
SportGearPro,Свободно,Неизвестно,None
Betrayal_Ecstasy,Свободно,Неизвестно,None
Judas_Triumph,Свободно,Неизвестно,None
Judas_Jubilation,Свободно,Неизвестно,None
Jubilation_Bot,Занято,Неизвестно,None
Ecstatic_Celebration,Свободно,Неизвестно,None
Triumphant_Joy,Свободно,Неизвестно,None
PingPongBot,Занято,Связь_тест,
ConnectivityCheck,Свободно,Связь_тест,
LinkTester123,Занято,Связь_тест,
Network_Status_bot,Занято,Связь_тест,
Connectivity,Доступно для покупки,**Связь_мониторинг**,
Link_Status_bot,Занято,**Связь_мониторинг**,
OnlineCheck_123,Свободно,**Связь_мониторинг**,
NetPing_Monitor,Свободно,**Связь_мониторинг**,
Network_Pulse_bot,Занято,**Связь_мониторинг**,
Connection_Checker_bot,Занято,**Связь_мониторинг**,
AsphaltAce,Занято,Гонщик,
RacingGhost,Занято,Гонщик,
RacingAce,Занято,Гонщик,
SpeedyGonzales_bot,Занято,Гонщик,
NitroRush,Занято,Гонщик,
SpeedDemon_bot,Занято,Гонщик,
RacingLegend,Свободно,Гонщик,
FastLaneDriver,Занято,Гонщик,
AsphaltKing,Свободно,Гонщик,
SpeedyRacer,Занято,Гонщик,
cheCKSum,Доступно для покупки,Пользовательская проверка,None
Capitalist_Dreams,Свободно,**Тема: Бизнес**,cringe
GrindNeverStops,Занято,**Тема: Бизнес**,cringe
MoneyMakingMachine_bot,Занято,**Тема: Бизнес**,cringe
Workaholic_4Life,Свободно,**Тема: Бизнес**,cringe
BusyBee_Corp,Свободно,**Бизнес**,cringe
Im_So_Productive_lol,Свободно,**Бизнес**,cringe
MoneyMakesMeHappy,Занято,**Бизнес**,cringe
BusinessBot,Занято,**Бизнес**,minimal
TaskMaster_bot,Занято,**Бизнес**,minimal
InMeeting,Занято,**Бизнес**,minimal
ProjectFlow,Занято,**Бизнес**,minimal
WorkModeOn,Занято,**Бизнес**,minimal
Busy_Now,Занято,**Бизнес**,minimal
BusinessHours,Доступно для покупки,**Бизнес**,minimal
IsWorking,Занято,**Бизнес**,minimal
WorkStatus_bot,Занято,**Бизнес**,minimal
TaskManagerBot,Занято,**Бизнес**,minimal
OnDuty_bot,Занято,**Бизнес**,minimal
Busy_now,Занято,**Бизнес**,minimal
WaitingGame,Занято,Задержки,minimal
PendingTask,Занято,Задержки,minimal
LongWaitBot,Свободно,Задержки,minimal
WhySoLong,Занято,Задержки,minimal
SlowProcess,Занято,**Задержки**,minimal
PendingTasks,Свободно,**Задержки**,minimal
TimeLag,Занято,**Задержки**,minimal
LongWait,Занято,**Задержки**,minimal
StillWaiting,Занято,**Задержки**,minimal
Delayed_Response,Свободно,**Задержки**,minimal
ProofVerifier,Свободно,Проверка фактов,
FactValidation,Свободно,Проверка фактов,
VerifyFacts,Занято,Проверка фактов,
ProofChecker,Занято,Проверка фактов,
FactValidator,Свободно,Проверка фактов,
VerifyInfo,Свободно,Проверка фактов,
amvera_uptime_monitor,Свободно,Проверка скорости и работоспособности на amvera,
check_amvera_status,Свободно,Проверка скорости и работоспособности на amvera,
amvera_speedtest_bot,Свободно,Проверка скорости и работоспособности на amvera,
Lenin_ArmoredCar,Свободно,История,
LeninOnWheels_1917,Свободно,История,
OctoberRevolutionBot,Свободно,История,
TimeCheck_Service,Свободно,**Время как сервис**,
Clockwork_Time,Свободно,**Время - универсальный инструмент**,
UniversalTimeBot,Свободно,**Время - универсальный инструмент**,
CurrentTimeBot,Занято,**Время и дата**,
TimeLord123,Занято,**Время**,
WhatsTheTimeNow,Занято,**Время**,
GetItDoneNow,Доступно для покупки,**Тема:  Повышение продуктивности**,
SpeedDemon_123,Свободно,**Тема:  Повышение продуктивности**,
Hurry_Up_Bot,Занято,**Тема:  Повышение продуктивности**,
VerifyInfo_bot,Свободно,Проверка фактов,
FactCheckBot,Занято,Проверка фактов,
Truth_Verification,Свободно,Проверка фактов,
VerifyThis_bot,Занято,Проверка фактов,
FactCheckerBot,Занято,Проверка фактов,
checksum,Доступно для покупки,Пользовательская проверка,None
ScarecrowAssistant,Свободно,Тема:  Помощник по миру Оз,
EmeraldCityGuide_bot,Свободно,Тема:  Помощник по миру Оз,
OzWizardHelper,Свободно,Тема:  Помощник по миру Оз,
Genas_Swamp_Updates_bot,Свободно,Крокодил Гена - информационный бот,strict
CrocodileGenaNews,Свободно,Крокодил Гена - информационный бот,strict
Gena_Crocodile_Info_bot,Свободно,Крокодил Гена - информационный бот,strict
kitty_bot_1,Свободно,Коты и роботы,
meow_bot_01,Свободно,Тема: Коты и боты,
kit_n_bot,Свободно,Тема: Коты и боты,
robo_kot_assistant,Свободно,Коты и роботы,
kitty_bot_2,Свободно,Коты и роботы,
kot_the_bot,Занято,Коты и роботы,
KittyBotBusiness,Свободно,Бизнес,
KotiBotFinance_bot,Свободно,Бизнес,
CatIBot_Assistant,Свободно,Бизнес,
Kitten_Support_bot,Свободно,Бот-помощник,
Purr_bot_Assistant,Свободно,Бот-помощник,
Purrfect_Assistant_bot,Свободно,Кошачий бот-помощник,
CatBotHelper,Свободно,Кошачий бот-помощник,
CheburashkaAndCo_bot,Свободно,Бизнес,
KrokodilGena_Inc,Свободно,Бизнес,
Genas_CrocShop,Свободно,Бизнес,
chwedfgfgdf,Свободно,Пользовательская проверка,None
AncientWorldArchive,Свободно,Тема: Архив древнего мира,
ChronoScrolls,Занято,Археология,
LostCivilizations_bot,Свободно,Археология,
Ancient_Scribes,Свободно,Археология,minimal
HistorianBot,Занято,Археология,minimal
OldWorld_Data,Свободно,Археология,minimal
AncientArchives,Доступно для покупки,Археология,minimal
Forbes_Funk,Свободно,Бизнес,funky
Elite_BizBot,Свободно,Бизнес,funky
Money_Maker88,Занято,Бизнес,funky
Forbes_funk,Свободно,Бизнес,funky
Gtdfhhjj,Свободно,Пользовательская проверка,None
Market_Insights,Занято,Бизнес,
GrowthHackingTips,Занято,Бизнес,
MarketIntel_pro,Свободно,Бизнес,
ForbesBizBot,Свободно,Бизнес,
BeerBear,Занято,Пользовательская проверка,None
HariboBeer,Занято,Пользовательская проверка,None
bot_and_kot,Свободно,Пользовательская проверка,None
UniqueBotCraft,Свободно,Крафт и индивидуальность,
HandmadeBot_Studio,Свободно,Крафт и индивидуальность,
CraftBotsLab,Свободно,Крафт и индивидуальность,
PixelBotsmith,Свободно,Крафтовые боты,minimal
CodeWeavers_bot,Свободно,Крафтовые боты,minimal
Purr_fect_Automation_bot,Свободно,Funky CatBot Workshop,funky
FuzzyLogicBots,Свободно,Funky CatBot Workshop,funky
Catnip_Code_bot,Свободно,Funky CatBot Workshop,funky
glitchy_gizmo_creations_bot,Свободно,Крафтовые боты,cringe
pixelated_pals_bot,Свободно,Крафтовые боты,cringe
cringe_bot_factory,Свободно,Крафтовые боты,cringe
PixelPusherBots,Свободно,Бизнес,
Geargrind_bot,Свободно,Бизнес,
CraftBotsInc,Свободно,Бизнес,
Pixel_Puppetry_bot,Свободно,**Тема: Искусство и ручная работа**,
Pixelated_Bots,Свободно,**Крафт & Индивидуальность**,
CraftBot_Artisan,Свободно,**Крафт & Индивидуальность**,
CraftBotStudio,Свободно,Крафтовые боты,minimal
BotCraftWorkshop,Свободно,Крафтовые боты,minimal
CraftBotLab,Свободно,Крафтовые боты,minimal
Artisan_Bots,Свободно,Бизнес,strict
CraftBotWorkshop,Свободно,Бизнес,strict
